district,name,hours_text
ธนบุรี,พิพิธภัณฑ์ท้องถิ่นกรุงเทพมหานครเขตธนบุรี,ไม่พบข้อมูล
ธนบุรี,พระบรมราชานุสาวรีย์สมเด็จพระเจ้ากรุงธนบุรี,ไม่พบข้อมูล
ธนบุรี,ชุมชนกุฎีจีน,ไม่พบข้อมูล
ธนบุรี,ชุมชนวัดบางไส้ไก่,ไม่พบข้อมูล
ธนบุรี,ชุมชนตลาดพลู,ไม่พบข้อมูล
ธนบุรี,คริสตจักรที่ 1 สำเหร่,ไม่พบข้อมูล
ธนบุรี,มัสยิดบางหลวง,ไม่พบข้อมูล
ธนบุรี,วัดกัลยาณมิตรวรมหาวิหาร,ไม่พบข้อมูล
ธนบุรี,วัดประยุรวงศาวาสวรวิหาร,ไม่พบข้อมูล
ธนบุรี,ศาลเจ้าเกียนอันเกง,ไม่พบข้อมูล
ธนบุรี,วัดบุคคโล,ไม่พบข้อมูล
ธนบุรี,วัดซางตาครู้ส,ไม่พบข้อมูล
ธนบุรี,วัดเวฬุราชิน,ไม่พบข้อมูล
ธนบุรี,วัดโพธินิมิตสถิตมหาสีมาราม,ไม่พบข้อมูล
ธนบุรี,วัดขุนจันทร์,ไม่พบข้อมูล
ทุ่งครุ,วัดหลวงพ่อโอภาสี,ไม่พบข้อมูล
ทุ่งครุ,วัดพุทธบูชา,ไม่พบข้อมูล
ทุ่งครุ,กำปงในดงปรือ,ไม่พบข้อมูล
ทุ่งครุ,สวนธนบุรีรมย์,ไม่พบข้อมูล
ทุ่งครุ,พิพิธภัณฑ์เด็กทุ่งครุ,ไม่พบข้อมูล
ทุ่งครุ,โรงละครช้าง,ไม่พบข้อมูล
ทุ่งครุ,วัดทุ่งครุ,ไม่พบข้อมูล
ทุ่งครุ,วัดบางมดโสธราราม,ไม่พบข้อมูล
ทุ่งครุ,ตลาดมดตะนอย,ไม่พบข้อมูล
ทุ่งครุ,ริมคลองบางมด,ไม่พบข้อมูล
ทุ่งครุ,ศูนย์กีฬาเฉลิมพระเกียรติ,ไม่พบข้อมูล
ทุ่งครุ,ห้องสมุดเพื่อการเรียนรู้ทุ่งครุ,ไม่พบข้อมูล
ทุ่งครุ,ตลาดใหม่ทุ่งครุ,ไม่พบข้อมูล
ทุ่งครุ,มัสยิดอัลอิสติกอมะห์,ไม่พบข้อมูล
