no,district,name,type,address,phone,googlemap_url,hours_text
11,บางเขน,เสถียรธรรมสถาน,สถานปฏิบัติธรรม,เลขที่ 23 ถนนวัชรพล รามอินทรา 55 แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10230,"0 2519 1119, 0 2510 6697, 09 1831 2294",https://maps.app.goo.gl/wd5RqK5KhH8Wg6Xf9,เปิดทุกวัน 07:30-17:00
12,บางเขน,ตลาดยิ่งเจริญ,ตลาดสด,เลขที่ 651 ถนนพหลโยธิน แขวงอนุสาวรีย เขตบางเขน กรุงเทพมหานคร 10220,0 2972 3405 - 7,https://maps.app.goo.gl/MzhA6An8y92Q9No18,เปิดทุกวัน 24 ชั่วโมง
13,บางเขน,The 9 Resort,ห้องพักรายวัน-รายเดือน,เลขที่ 2/2 ซอยรามอินทรา 34 แยก 12 แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10230,08 2342 2222,https://maps.app.goo.gl/czyCQUMsnFmu9jSr7,เช็คอิน 14:00 เช็คเอาท์ 12:00 (Front Desk 24 ชม.)
14,บางเขน,ร้านระกาแฟ,ร้านกาแฟ,เลขที่ 48 ซอย 8/37 ถนนรามอินทรา แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,08 8869 8987,https://maps.app.goo.gl/UoAwzx8rw4SGjRsR8,ไม่พบข้อมูล
15,บางเขน,สวนอาหารบางบัว,ร้านอาหาร,เลขที่ 213/1 ถนนพหลโยธิน แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,0 2552 6088,https://maps.app.goo.gl/9e4fC3mrt7d7CZDC7,เปิดทุกวัน 10:00-21:00
16,บางขุนเทียน,วัดบางกระดี่,วัด,41 หมู่ 8 ถนนบางกระดี่ แขวงแสมดำ เขตบางขุนเทียน กรุงเทพฯ 10150,0 2896 9979,https://goo.gl/maps/JTGdbEYstq7DKymH7,ไม่พบข้อมูล
17,บางขุนเทียน,วัดกก,วัด,ถนนพระราม 2 ซอย 44 แยก 5 แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพฯ 10150,"0 2415 1392, 09 4416 6075, 06 2545 6236",https://goo.gl/maps/1FPuhqcyKfeDQHBD6,ไม่พบข้อมูล
18,บางขุนเทียน,ทะเลบางขุนเทียน,แหล่งธรรมชาติ,ถนนบางขุนเทียน - ชายทะเล เขตบางขุนเทียน กรุงเทพฯ 10150,,https://goo.gl/maps/2ZkrTerfSnxz749K6,06:00-18:00
19,บางขุนเทียน,พิพิธภัณฑ์ท้องถิ่นกรุงเทพมหานคร เขตบางขุนเทียน,พิพิธภัณฑ์,54/2 หมู่ 10 โรงเรียนคลองพิทยาลงกรณ์ แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพฯ 10150,09 5141 5381 (คุณฮาร์เลย์),https://goo.gl/maps/dX767fjLbL8n92vt6,จันทร์-อาทิตย์ 09:00-16:00
20,บางขุนเทียน,ศูนย์ศิลปวัฒนธรรมมอญบางกระดี่,พิพิธภัณฑ์,หมู่ 9 ถนนพระราม2 แขวงแสมดำ เขตบางขุนเทียน  กรุงเทพฯ 10150,08 1383 7266,https://goo.gl/maps/7RNbxMaAmnhqVGzE7,ไม่พบข้อมูล
21,บางขุนเทียน,ศาลเจ้าแม่งูจงอางและลูก,ศาล,9 พระราม 2 ซอย 46 แขวงแสมดำ เขตบางขุนเทียน กรุงเทพฯ 10150,,https://goo.gl/maps/hoB6a5VZcvYVFREy5,ไม่พบข้อมูล
22,บางขุนเทียน,วัดหัวกระบือ,วัด,77 ซอยเทียนทะเล 19 แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพฯ 10150,0 2897 2445,https://goo.gl/maps/J1mXzgjD5v5kAJri7,ไม่พบข้อมูล
23,บางขุนเทียน,พิพิธภัณฑ์ว่าวไทย,พิพิธภัณฑ์,โรงเรียนทวีธาภิเศก 2 เลขที่ 91/128 หมู่ 8 ถนนบางขุนเทียน - ชายทะเล แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพฯ 10150,"0 2849 3310, 09 9103 4283",https://goo.gl/maps/ViXCqNVtwjVgNpoZA,จันทร์-ศุกร์ 09:00-16:00
24,บางขุนเทียน,ชุมชนแสนตอ,ชุมชนท่องเที่ยว,115/7 หมู่ที่ 9 คลองแสนตอ แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพฯ 10150,"08 7071 7242 (ลุงสอน), 09 6040 9370 (บริษัท Local Alike)",https://goo.gl/maps/3FNb7qFCEWLjmTpo7,ไม่พบข้อมูล
25,บางขุนเทียน,สวนส้มบางมด ผู้ใหญ่ชาติ เที่ยงธรรม,สวนส้ม/แหล่งเกษตรกรรม,ซอยอนามัยงามเจริญ 33 แยก 1 - 3 แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพฯ 10150,06 2652 4559 (ผู้สนใจเยี่ยมชมกรุณาโทรศัพท์นัดหมายผู้ใหญ่ชาติล่วงหน้า),https://goo.gl/maps/WjKyHDW8zEWzRHXa8,ไม่พบข้อมูล
26,บางขุนเทียน,สะพานรักษ์ทะเลบางขุนเทียน,เส้นทางศึกษา-เที่ยวชมธรรมชาติ/เส้นทางจักรยาน,ถนนบางขุนเทียน - ชายทะเล แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพฯ 10150,,https://goo.gl/maps/71zadK6hBSCxrYKbA,06:00-18:00
27,บางขุนเทียน,ครัวทับทิมซีฟู้ด,ร้านอาหาร,712/2 ถนนบางขุนเทียน - ชายทะเล แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพฯ 10150,"0 2004 9225, 08 7589 0811, 09 0982 7750, 08 1376 4173",https://goo.gl/maps/C3DVRj7vZKxe21D67,เปิดทุกวัน 10:00-21:30
28,บางขุนเทียน,ธารทะเลซีฟู้ด,ร้านอาหาร,1025/3 ถนนบางขุนเทียน-ชายทะเล แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพฯ 10150,06 2819 9333,https://goo.gl/maps/VwCcTDqT1d4KyXWH7,เปิดทุกวัน 10:00-22:00
29,บางขุนเทียน,BANGKOK SEAVIEW SEAFOOD,ร้านอาหาร,275 ถนนชายทะเล - บางขุนเทียน แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพฯ 10150,"0 2408 4008, 08 9894 3595",https://goo.gl/maps/tJeYgG6acXu6XjZu5,เปิดทุกวัน 10:00-21:00
30,บางขุนเทียน,ดอกไม้ ประตู แจกัน,คาเฟ่/ร้านอาหาร/ร้านกาแฟ,17/2 ถนนพระรามสอง ซอย 51 แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพฯ 10150,08 1847 1026,https://goo.gl/maps/T8H7MTwGwd2xBheJ8,09:00-18:00
31,บางบอน,สวนสาธารณะเฉลิมพระเกียรติ ฯ 7 รอบ,สวนสาธารณะ,เลขที่ 563 ซอยเอกชัย 109 แขวงบางบอน เขตบางบอน กรุงเทพมหานคร 10150,0 2453 0161 2684,https://maps.app.goo.gl/K7D5DRQV5oZPppvM6,เปิดทุกวัน 05:00-21:00
32,บางบอน,Zanook Wake Park Wakeboard,สนามกีฬาทางน้ำ,เลขที่ 77 แขวงบางบอน เขตบางบอน  กรุงเทพมหานคร  10150,06 4242 5159 / 02 104 9153,https://maps.app.goo.gl/qmmSM58uzaBQadWD8,จันทร์-ศุกร์ 11:30-20:30 เสาร์-อาทิตย์ 09:00-20:30
33,บางบอน,โกดังญี่ปุ่น ปัง,ศูนย์การค้า,เลขที่ 133 แขวงบางบอน เขตบางบอน กรุงเทพมหานคร 10150,08 3710 0017,https://maps.app.goo.gl/pCqP1m9oP9157xHS9,ไม่พบข้อมูล
34,บางบอน,สวนลุงเข้ม,สวนเกษตร,เลขที่ 35 แขวงบางบอน เขตบางบอน กรุงเทพมหานคร 10150,0 2453 0612,https://maps.app.goo.gl/Lg8dpvZgrZFKBhDCA,ไม่พบข้อมูล
35,บางบอน,วัดโพธิ์พุฒตาล,ศาสนสถาน,เลขที่ 1670 แขวงบางบอน เขตบางบอน กรุงเทพมหานคร 10150,-,https://maps.app.goo.gl/z3xXoCmrZX3rtcbd9,ไม่พบข้อมูล
36,บางบอน,วัดร้างบางบอน (วิหารหลวงพ่อขาว),ศาสนสถาน,เลขที่ 2 แขวงบางบอน เขตบางบอน กรุงเทพมหานคร 10150,-,https://maps.app.goo.gl/XTwyBdkp7BQ62VwY7,ไม่พบข้อมูล
37,บางบอน,สวนน้อยรักษา,สวนเกษตร,เลขที่ 76/8 แขวงบางบอน เขตบางบอน กรุงเทพมหานคร 10150,0 2445 5500,https://maps.app.goo.gl/Pvo3sCrbeTRACxuM9,ไม่พบข้อมูล
38,บางบอน,ห้องสมุดเพื่อการเรียนรู้บางบอน,ห้องสมุด,เลขที่ 109 แขวงบางบอน เขตบางบอน กรุงเทพมหานคร 10150,0 2450 6946,https://maps.app.goo.gl/yJHsbq4nnv4roauy6,อังคาร-เสาร์ 08:30-20:00 อาทิตย์ 09:00-17:00 ปิดวันจันทร์
39,บางบอน,The Rich Plaza (เดอะ ริช พลาซ่า),ศูนย์การค้า,เลขที่ 763 แขวงบางบอน เขตบางบอน กรุงเทพมหานคร 10150,08 8188 4888,https://maps.app.goo.gl/YBoHkjFpAnTAVPRX9,ไม่พบข้อมูล
40,บางบอน,ตลาดสุขสวัสดี,ตลาดสด,เลขที่ 66  แขวงบางบอน เขตบางบอน กรุงเทพมหานคร  10150,08 9489 8488,https://maps.app.goo.gl/yden7BNo68mKgqNj8,ไม่พบข้อมูล
41,บางบอน,ตลาดนัดมิดไนท์ บางบอน 5,ตลาดนัด,เลขที่ 5 แขวงบางบอน เขตบางบอน กรุงเทพมหานคร 10150,08 9505 6510,https://maps.app.goo.gl/19XYTKC8dem8haTB8,ไม่พบข้อมูล
42,บางบอน,ตลาดกลางสินค้าสัตว์น้ำบางบอน,ตลาดสด,เลขที่ 1 แขวงบางบอน เขตบางบอน กรุงเทพมหานคร 10150,0 2450 3868,https://maps.app.goo.gl/krhzg58DD89dWgZRA,ไม่พบข้อมูล
43,บางบอน,Rose and love garden,สวนเกษตร,เลขที่ 53 แขวง บางบอน เขตบางบอน กรุงเทพมหานคร 10150,08 1888 3018,https://maps.app.goo.gl/kX3EVmRZTZCZUwAJA,ไม่พบข้อมูล
44,บางบอน,ตลาดวันโอวันมาร์เก็ต,ตลาดสด,เลขที่ 1137/2 แขวงบางบอนใต้ เขตบางบอนกรุงเทพมหานคร 10150,09 7987 7989,https://maps.app.goo.gl/cPztb4kpWsCX4pKW6,เปิดทุกวัน 11:00-23:00
45,บางบอน,สวนลำไยลุงมานพ,สวนเกษตร,เลขที่ 26/3 ถนน เอกชัย แขวงบางบอน เขตบางบอน กรุงเทพมหานคร 10150,09 4860 3019,https://maps.app.goo.gl/GgqfdgB3Btka937T6,ไม่พบข้อมูล
46,บางแค,ไร่เหมือนจันทร์,แหล่งท่องเที่ยวเชิงเกษตร,166/1 ถนนเลียบคลองทวีวัฒนา แขวงบางไผ่ เขตบางแค กรุงเทพมหานคร 10160,08 1168 6565,https://maps.app.goo.gl/8Hi6TJaJNE5CE9Wf9,เปิดทุกวัน 09:00-17:00
47,บางแค,วัดม่วง บางแค,วัด,ซอยเพชรเกษม 63 ถนนเพชรเกษม แขวงหลักสอง เขตบางแค กรุงเทพมหานคร 10160,"0 2413 4901, 09 6446 9491",https://maps.app.goo.gl/yxc3kX8AGVaYQ4oH9,ไม่พบข้อมูล
48,บางแค,ศาลเจ้าแม่ทับทิมหลักสอง (บางแค),ศาลเจ้า,498 ถนนกาญจนาภิเษก แขวงหลักสอง เขตบางแค กรุงเทพมหานคร 10160,0 2803 6360,https://maps.app.goo.gl/9Ato8sdvqS6hczdp6,เปิดทุกวัน 07:00-18:00
49,บางแค,ตลาดบางแค,ตลาด,17 ซอยเพชรเกษม 39/1 แขวงบางแค เขตบางแค กรุงเทพมหานคร 10160,0 2867 1635,https://maps.app.goo.gl/ZKUYHfSEa5MMoRpSA,ไม่พบข้อมูล
50,บางแค,วัดราษฏร์บำรุง,วัด,10 ซอยเพชรเกษม 69 ถนนเพชรเกษม แขวงหลักสอง เขตบางแค กรุงเทพมหานคร 10160,0 2421 1371,https://maps.app.goo.gl/16wm17QJ32M4Uuo69,ไม่พบข้อมูล
51,บางแค,วัดพรหมสุวรรณสามัคคี,วัด,8 หมู่4 หมู่บ้านเศรษฐกิจ ซอย12 แขวงบางไผ่ เขตบางแค กรุงเทพมหานคร 10160,0 2421 7169,https://maps.app.goo.gl/QKLbuQ8WJxpMqkK17,ไม่พบข้อมูล
52,บางแค,ห้างสรรพสินค้าเดอะมอลล์บางแค,ห้างสรรพสินค้า,518 ถนนเพชรเกษม แขวงบางแคเหนือ เขตบางแค กรุงเทพมหานคร 10160,0 2487 1000,https://maps.app.goo.gl/CGZphNs9d1nTmBTY6,เปิดทุกวัน 11:00-21:00
53,บางแค,สวนเพชรกาญจนารมย์,สวนสาธารณะ,แขวงบางแคเหนือ เขตบางแค กรุงเทพมหานคร 10160,0 2867 1635,https://maps.app.goo.gl/gWspTjTkRW8c8WbV8,เปิดทุกวัน 05:00-21:00
54,บางแค,สวนบางแคภิรมย์,สวนสาธารณะ,ซอยบ้านคลองขวาง แขวงหลักสอง เขตบางแค กรุงเทพมหานคร 10160,0 2867 1635,https://maps.app.goo.gl/VqFQhjLgrVtgintF7,เปิดทุกวัน 05:00-21:00
55,บางแค,สวนสาธารณะกัลปพฤกษ์,สวนสาธารณะ,ถนนกัลปพฤกษ์ แขวงบางแค เขตบางแค กรุงเทพมหานคร 10160,09 9632 0013,https://maps.app.goo.gl/8eW3gLzxVBUdNpDo9,ไม่พบข้อมูล
56,บางแค,The Explace Mall,ห้างสรรพสินค้า,60/1 ถ. กาญจนาภิเษก แขวงบางแค เขตบางแค กรุงเทพมหานคร 10160,0 2413 1555,https://maps.app.goo.gl/5ZxTNacvpFHhv5nx6,เปิดทุกวัน 10:30-21:00
57,บางแค,วัดศาลาแดง,วัด,134 หมู่ 6 ถนนบางแวก แขวงบางไผ่ เขตบางแค กรุงเทพมหานคร 10160,0 2421 1375,https://maps.app.goo.gl/rVs7TspPz3E53XZU6,ไม่พบข้อมูล
58,บางแค,วัดบุณยประดิษฐ์,วัด,9 พุทธมณฑล สาย 2 ซอย 7 แขวงบางไผ่ เขตบางแคกรุงเทพมหานคร 10160,"0 2413 3042, 0 2454 7029",https://maps.app.goo.gl/rcgKQ1Vg1SfEj4N7A,ไม่พบข้อมูล
59,บางแค,พิพิธภัณฑ์เทพศรียันตราเทวาลัย,พิพิธภัณฑ์,1483 ถนนกาญจนาภิเษก แขวงบางแคเหนือ เขตบางแค กรุงเทพมหานคร 10160,09 6654 6159,https://maps.app.goo.gl/Qou7JSRSWvA8XLaF6,เปิดทุกวัน 08:00-19:00
60,บางนา,วัดบางนาใน,ศาสนสถาน,3322 ถนนสรรพาวุธ 1 แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260,"08 9487 2443, 0 2393 2684",https://maps.app.goo.gl/PoidsTUW8SKnwKGg8,ไม่พบข้อมูล
61,บางนา,วัดบางนานอก,ศาสนสถาน,18 ถนนสรรพาวุธ แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260,0 2173 4982,https://maps.app.goo.gl/pXATTqgXfKxrUVZe8,ไม่พบข้อมูล
62,บางนา,วัดศรีเอี่ยม,ศาสนสถาน,111 ถนนบางนา - ตราด แขวงบางนาเหนือ เขตบางนา กรุงเทพมหานคร 10260,"0 2398 4759 , 08 1869 4383",https://maps.app.goo.gl/jvmShSC1tDtq9Th56,05:00-20:00
63,บางนา,ศูนย์นิทรรศการและการประชุมไบเทค,ศูนย์นิทรรศการและการประชุม,88 ถนนเทพารัตน กม.1 แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260,"0 2726 1999, 0 2749 3939 , 0 2361 1916",https://maps.app.goo.gl/yUkGbzwpSWmwQ6EK8,ไม่พบข้อมูล
64,บางนา,พิพิธภัณฑ์ การเรียนรู้อุตุนิยมวิทยา,พิพิธภัณฑ์,4353 ถนนสุขุมวิท แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260,0 2366 9301 ต่อ 6101 - 6102,https://maps.app.goo.gl/6X4dVWynFQWHy1LN6,จันทร์-ศุกร์ 10:00-16:00 ปิดเสาร์-อาทิตย์
65,บางนา,พิพิธภัณฑ์ท้องถิ่นกรุงเทพมหานครเขตบางนา,พิพิธภัณฑ์,ภายในวัดบางนาใน ถนนสุขุมวิท แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260,0 2398 3758,https://maps.app.goo.gl/bZ4tXpMCLsLxwZ3w9,พุธ-อาทิตย์ 08:30-16:30
66,บางนา,สวนน้ำ Pororo Aquapark BKK,สวนน้ำ,ชั้น 6 ศูนย์การค้าเซ็นทรัลบางนา ถนนบางนา - ตราด แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260,0 2745 7377,https://maps.app.goo.gl/EQ84KsLQcREmCq9i7,เปิดทุกวัน 10:30-19:00
67,บางนา,ลิตเติ้ลวอล์ค บางนา,ศูนย์การค้า,769/1-3 ถนนบางนา - ตราด 42 แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260,"0 2898 6420, 06 1825 9293, 08 1752 7089",https://maps.app.goo.gl/GT5AHHLcnUhGLTZGA,เปิดทุกวัน 08:00-20:00
68,บางนา,ตลาดนัด AD Bearing Market,ตลาดนัด,591 ถนนแบริ่ง - ลาซาล แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260,08 3839 8998,https://maps.app.goo.gl/9FZ13maGPQ3JmtWL7,ไม่พบข้อมูล
69,บางนา,เซ็นทรัลพลาซา บางนา,ศูนย์การค้า,585 ศูนย์การค้าเซ็นทรัลพลาซาบางนา ถนนบางนา – ตราด แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260,0 2725 5000,https://maps.app.goo.gl/4FUJApvYkhj7cDB7A,เปิดทุกวัน 10:00-22:00
70,บางนา,สนามกอล์ฟราชนาวี บางนา,สนามกีฬา,4355 ถนนสุขุมวิท แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260,0 2393 1652,https://maps.app.goo.gl/Gv5btWu9MqpdvART8,ไม่พบข้อมูล
71,บางนา,สนามไดร์ฟกอล์ฟ วันโอวัน,สนามกีฬา,22 ถนนสุขุมวิท 70/3 แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260,09 2948 4650,https://maps.app.goo.gl/TzyuanLv5fvAsBUB9,ไม่พบข้อมูล
72,บางนา,วัดผ่องพลอยวิริยาราม,ศาสนสถาน,229 ซอยลาซาล 46 แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260,"09 2186 1515, 0 2748 6832",https://maps.app.goo.gl/xFQdfAWptiExTmSeA,ไม่พบข้อมูล
73,บางนา,สวนบางนาภิรมย์,สวนสาธารณะ,ถนนสรรพาวุธ แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260,0 2173 5253,https://maps.app.goo.gl/9LpDfohDZKfLJcgv5,เปิดทุกวัน 06:00-18:00
74,บางนา,สระว่ายน้ำภูติอนันต์ 2,สนามกีฬา,134 - 163 กรมอุทกศาสตร์ทหารเรือ ถนนทางรถไฟสายเก่าปากน้ำ แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260,0 2475 2024,https://maps.app.goo.gl/ErxkttbvqGN84yLV7,เปิดทุกวัน 06:30-20:30
75,บางซื่อ,วัดสร้อยทอง,ศาสนสถาน,1319 ถนนประชาราษฎร์สาย 1 แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800**ใกล้สะพานพระราม 7**,"02-585-3335, 02-587-1881    โทรสาร :  02-912-6637",https://maps.app.goo.gl/PoQiRrKLcAXbo1o36,ไม่พบข้อมูล
76,บางซื่อ,วัดทองสุทธาราม (วัดทอง),ศาสนสถาน,279 ซอยกรุงเทพ-นนทบุรี 56 ถนนกรุงเทพ-นนทบุรี แขวงวงศ์สว่าง เขตบางซื่อ  กรุงเทพมหานคร 10800,"065-503-7175,  02-587-5079, 02-912-1583",https://maps.app.goo.gl/iPXnHipJnmRx9oYr8,เปิดทุกวัน 08:00-17:00
77,บางซื่อ,วัดประชาศรัทธาธรรม (วัดเสาหิน),ศาสนสถาน,98  ถนนวงศ์สว่าง  แขวงบางซื่อ  เขตบางซื่อ กรุงเทพมหานคร  10800 **เชิงสะพานพระราม 7  ฝั่งกรุงเทพฯ**,"02-585-1678, 02-587-8605",https://maps.app.goo.gl/eahYFrZ8UDySR4aY8,08:00-17:00
78,บางซื่อ,วัดเลียบราษฎร์บำรุง,ศาสนสถาน,1451  ซอยกรุงเทพ-นนทบุรี 43 (ซอยจงสุข)  ถนนกรุงเทพ-นนทบุรี แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,"02-585-7077, 090-983-4746",https://maps.app.goo.gl/ZDpgedvBwKpUhvzJ6,ไม่พบข้อมูล
79,บางซื่อ,วัดมัชฌันติการาม (วัดน้อย),ศาสนสถาน,102  ซอยวงศ์สว่าง 11 ถนนวงศ์สว่าง  แขวงวงศ์สว่าง  เขตบางซื่อ กรุงเทพมหานคร 10800,"02-587-6750, 094-004-6876, 086-542-3319",https://maps.app.goo.gl/aSdh5bTDPQYwcG1o7,ไม่พบข้อมูล
80,บางซื่อ,วัดบางโพโอมาวาส,ศาสนสถาน,90 ถนนประชาราษฏร์สาย 1 แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,"089-514-7889,  090-924-1819, 062-410-8602",https://maps.app.goo.gl/J6ghsCqJp8qfR7Rn9,ไม่พบข้อมูล
81,บางซื่อ,วัดอนัมนิกายาราม วัดญวนบางโพ กว๋างเพื้อกตื่อ,ศาสนสถาน,27 ถนนประชาราษฎร์ สาย1 แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,02- 912-7470,https://maps.app.goo.gl/SuNJMLeB3kxJQcJ88,เปิดทุกวัน 08:00-17:00
82,บางซื่อ,วัดประดู่ธรรมาธิปัตย์,ศาสนสถาน,102 ประชาราษฎร์สาย 1 แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,"02-585-4752, 086-024-8995",https://maps.app.goo.gl/NsBnL5YnMHY4xTad8,ไม่พบข้อมูล
83,บางซื่อ,วัดเวตวันธรรมวาส  (วัดเชิงหวาย),ศาสนสถาน,17  หมู่  4  ซอยกรุงเทพ–นนทบุรี 21  ถนนกรุงเทพ – นนทบุรี  แขวงบางซื่อ  เขตบางซื่อ กรุงเทพมหานคร 10800,"02-911-5246,  02-585-0158,  089-510-6009",https://maps.app.goo.gl/LPg9anPzEnic2uPN9,ไม่พบข้อมูล
84,บางซื่อ,ถนนสายไม้ บางโพ ชุมชนประชานฤมิตร,ย่านการค้า,ซอยประชานฤมิตร ถนนประชาราษฏร์ 1 แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,"082-959-7710, 08-2021-9880",https://maps.app.goo.gl/DqyRXPJWmtovq4ga8,ไม่พบข้อมูล
85,บางซื่อ,บ้านเปรมใจ – ศูนย์ซ่อม – สร้างเครื่องดนตรีไทย,โรงเรียน,7 หมู่ 14 ซอยประชาชื่น 37 (สุดซอย 6) ถนนประชาชื่น แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,02-587-8969,https://maps.app.goo.gl/dhbEVMSiJz6MhYqp8,ไม่พบข้อมูล
86,บางซื่อ,พิพิธภัณฑ์บ้านนักเขียน ส.บุญเสนอ,พิพิธภัณฑ์,สมาคมนักเขียนแห่งประเทศไทย 31 ซอยกรุงเทพ-นนทบุรี 33 (ซอยเทวรัตน์) แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,02-910-9565       โทรสาร :   02-910-9565,https://maps.app.goo.gl/ov6DYXtSUcYfDeM5A,ต้องนัดหมายล่วงหน้า
